precio_promedio_usd,precio_minimo_usd,precio_maximo_usd,dias,variacion_usd_mensual,variacion_porcentual_usd,usd_alto,usd_alta_variabilidad,año,mes,es_enero,es_febrero,es_marzo,es_abril,es_mayo,es_junio,es_julio,es_agosto,es_septiembre,es_octubre,es_noviembre,es_diciembre,mes_vendimia,vacaciones_invierno,temporada_alta,pais_origen,punto_entrada,turistas
9.0,9.0,9.0,31,0.0,0.0,0,0,2015,7,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,Chile,Aeropuerto Buenos Aires,22486
9.0,9.0,9.0,31,0.0,0.0,0,0,2015,8,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,Chile,Aeropuerto Buenos Aires,18379
241.61,230.0,250.0,31,20.0,8.7,1,1,2023,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Uruguay,Aeropuerto Buenos Aires,3703
149.9,146.0,154.0,30,8.0,5.48,1,1,2022,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Resto de América,Aeropuerto Buenos Aires,22608
142.35,139.0,146.0,31,7.0,5.04,1,1,2022,8,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,Brasil,Aeropuerto Buenos Aires,43615
1020.92,1013.0,1031.0,30,18.0,1.78,1,1,2024,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Europa y Resto del Mundo,Paso Cristo Redentor,4549
149.9,146.0,154.0,30,8.0,5.48,1,1,2022,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Bolivia,Aeropuerto Buenos Aires,3451
210.23,205.0,216.0,31,11.0,5.37,1,1,2023,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,Europa y Resto del Mundo,Aeropuerto Mendoza,1550
869.55,861.5,876.0,31,14.5,1.68,1,1,2024,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,Europa y Resto del Mundo,Aeropuerto Buenos Aires,11691
17.35,17.0,18.0,31,1.0,5.88,0,0,2017,7,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,Chile,Aeropuerto Córdoba,1630
1020.92,1013.0,1031.0,30,18.0,1.78,1,1,2024,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"EEUU, Canadá y México",Aeropuerto Mendoza,1848
18.16,18.0,19.0,31,1.0,5.56,0,0,2017,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Resto de América,Aeropuerto Buenos Aires,45263
18.16,18.0,19.0,31,1.0,5.56,0,0,2017,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Paraguay,Aeropuerto Buenos Aires,6488
28.32,28.0,30.0,31,2.0,7.14,0,0,2018,7,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,Paraguay,Aeropuerto Buenos Aires,6802
28.32,28.0,30.0,31,2.0,7.14,0,0,2018,7,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,Resto de América,Aeropuerto Buenos Aires,26056
118.63,117.0,121.0,30,4.0,3.42,1,1,2022,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Resto de América,Aeropuerto Mendoza,582
54.1,45.0,62.0,31,17.0,37.78,0,1,2019,8,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,Chile,Aeropuerto Córdoba,1477
1077.76,1073.5,1084.25,28,10.75,1.0,1,1,2025,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,Uruguay,Puerto Buenos Aires,13102
16.0,16.0,16.0,28,0.0,0.0,0,0,2017,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,Europa y Resto del Mundo,Puerto Buenos Aires,2281
981.27,972.0,990.0,30,18.0,1.85,1,1,2024,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Europa y Resto del Mundo,Aeropuerto Córdoba,1023
158.9,154.0,164.0,31,10.0,6.49,1,1,2022,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Europa y Resto del Mundo,Aeropuerto Mendoza,1004
43.77,43.0,45.0,31,2.0,4.65,0,0,2019,7,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,Chile,Paso Cristo Redentor,12350
9.0,9.0,9.0,31,0.0,0.0,0,0,2014,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Resto de América,Aeropuerto Córdoba,820
114.77,113.0,116.0,31,3.0,2.65,1,1,2022,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,Brasil,Aeropuerto Buenos Aires,17375
922.38,914.0,930.5,30,16.5,1.81,1,1,2024,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Resto de América,Aeropuerto Córdoba,1300
1041.55,1031.0,1052.5,31,21.5,2.09,1,1,2024,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Bolivia,Aeropuerto Buenos Aires,3139
45.1,44.0,46.0,30,2.0,4.55,0,0,2019,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Europa y Resto del Mundo,Aeropuerto Córdoba,1029
9.0,9.0,9.0,31,0.0,0.0,0,0,2015,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"EEUU, Canadá y México",Aeropuerto Buenos Aires,32799
114.77,113.0,116.0,31,3.0,2.65,1,1,2022,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,Europa y Resto del Mundo,Aeropuerto Mendoza,611
